paperId,title
117,Uma Ontologia Temporal para Modelagem de Conhecimento sobre Ordena\cc\{\textasciitilde}ao de Eventos
118,Technological support for the enactment of collaborative scripted learning activities across multiple spatial locations
119,Comparison of reasoners for large ontologies in the OWL 2 EL profile
120,Personalized Course Generation Based on Layered Recommendation Systems
121,MovieLens
122,Personalized task recommendation in crowdsourcing information systems {\textemdash} Current state of the art
123,Item-based collaborative filtering recommendation algorithms
124,Ontology-based models in pervasive computing systems
125,Temporal Database Queries for Recommender System using Temporal Logic
126,An information retrieving service for distance learning
127,RDF triple processing methodology for the recommendation system using personal information
128,Anu{\'a}rio Brasileiro da Educa{\c c}{\~a}o B{\'a}sica
129,Institutional repository software comparison: DSpace  EPrints  Digital Commons  Islandora and Hydra
130,Bridging the gap between knowledge management and e-learning with context-aware corporate learning
131,PolyLens: a recommender system for groups of users
132,Perceived usefulness of innovative technology in retailing: Consumers׳ and retailers׳ point of view
133,Ontology development 101: A guide to creating your first ontology
134,Who does what in a massive open online course?
135,A recommender system based on tag and time information for social tagging systems
136,L{\'o}gica para Computa{\c c}{\~a}o
137,SAT Modeling and connection to CSP
138,Service-Oriented E-Learning Platforms: From Monolithic Systems to Flexible Services
139,Complexidade de Algoritmos
140,Being accurate is not enough: how accuracy metrics have hurt recommender systems
141,Understanding Semantic Web Applications
142,Active learning increases student performance in science  engineering  and mathematics
143,Improving Collaborative Filtering in Social Tagging Systems for the Recommendation of Scientific Articles
144,A framework for recommendation in learning object repositories: An example of application in civil engineering
145,The use of multi-agent systems to build intelligent tutoring systems
146,Variable Data Printing 2006: Growth and Changes in the Marketplace
147,Service quality explains why people use freemium services but not if they go premium: An empirical study in free-to-play games
148,Integration of Recommendations and Adaptive Hypermedia into Java Tutoring System
149,Evaluating the impact of proactivity in the user experience of a context-aware restaurant recommender for Android smartphones
150,Resumes {\&} Cover Letters
151,Toward principles for the design of ontologies used for knowledge sharing?
152,Brazilian Proposal for Agent-Based Learning Objects Metadata Standard-OBAA
153,Toward principles for the design of ontologies used for knowledge sharing
154,{\textquotedblleft}Antedisciplinary{\textquotedblright} Science
155,Mining social networks for anomalies: Methods and challenges
156,O Modelo do Conhecimento Primitivas do Modelo Componentes do Modelo
157,A Concise Introduction to Multiagent Systems and Distributed Artificial Intelligence
158,Context-aware collaborative filtering system: predicting the user's preferences in ubiquitous computing
159,Digital Information Strategies
160,Accounting for taste: using profile similarity to improve recommender systems
161,Developing a Recommendation Web Service for a Federation of Learning Repositories
162,Collaborative Information Filtering: A Review and an Educational Application
163,Construction of Engineering Ontologies for Knowledge Sharing and Reuse
164,Effective learning in the presence of adaptive counterparts
165,Current Issues in Multi-Agent Systems Development
166,Research on Several Recommendation Algorithms
167,Recent Research on Human Learning Challenges Conventional Instructional Strategies
168,CENSO ESCOLAR DA EDUCA{\c C}{\~A}O B{\'A}SICA 2012 RESUMO T{\'E}CNICO
169,MySQL
170,The NeOn Methodology for Ontology Engineering
171,Modelagem e implementa{\c c}{\~a}o da interface para apresenta{\c c}{\~a}o de comportamentos animados e emotivos de um agente pedag{\'o}gico animado
172,2005 Index IEEE Transactions on Knowledge and Data Engineering
173,Analyzing Web Chat Messages for Recommending Items from a Digital Library
174,Wikipedia
175,Learning to Recommend Product with the Content of Web Page
176,Mashup FOAF for Video Recommendation LightWeight Prototype
177,The impact of context on display ad effectiveness: Automatic attitude activation and applicability
178,Semantic annotation of video fragments as learning objects: a case study with YouTube videos and the Gene Ontology
179,Recommending research colloquia
180,Legal Ontologies in Knowledge Engineering and Information Management
181,GroupLens: An Open Architecture for Collaborative Filtering of Netnews
182,Probabilistic Robotics by Sebastian Thrun  Wolfram Burgard and Dieter Fox  MIT Press  647 pp.  \$55.00  ISBN 0-262-20162-3
183,A Framework for Collaborative  Content-Based and Demographic Filtering
184,Essentials of Game Theory
185,Security and Privacy in Communication Networks
186,Model-based reasoning
187,Expressiveness and tractability in knowledge representation and reasoning
188,Personalized Electronic Program Guides for Digital TV
